A. J. and Sigismunda Palumbo Charitable Trust,25-6168159,http://www.palumbocharitabletrust.org/,,
"Abell Foundation, The",52-6036106,abell.org,(410) 547-1300,
ABS FOUNDATION INC,26-0024575,http://abs-abs.com/products.html,,
ACAR/ACASV,,,,
ACVCC,,,,
ADECA,,,,
Affinity Federal Credit Union Foundation,,https://www.affinityfcu.com/foundation/proposal-guidelines.aspx,,
Aflac,,,,
Agua Fund,,,,
Akron Community Foundation,,,,
Alabama Department of Mental Health,,,,
Alabama Department of Public Health,,,,
ALEX SMITH FOUNDATION,20-4055249,WWW.ALEXSMITHFOUNDATION.ORG,(619) 479-1507,psmith3469@gmail.com
Allegheny County,,,,
Alliant Credit Union Foundation,71-1052113,,,
Americana Foundation,,,,
AMERICANS FOR THE ARTS INC,52-1996467,www.americansforthearts.org,202-371-2830,
Amr-American Airlines Foundation,76-2086656,http://hub.aa.com/en/ju/support,,
ANAHEIM DUCKS FOUNDATION INC,11-3839845,,,
Ann Arbor Area Community Foundation,38-6087967,http://www.aaacf.org,734-,
Archibald Family Charitable Foundation,04-3417222,,,
Area Agency on Aging 10B Direction Home,,,,
Area Agency on Aging 5,,aaa5ohio.org,4195244144,kmercer@aaa5ohio.org
Area Agency on Aging 9,,,,
Arnold P. Gold Foundation,,,,
Art Matters,,https://artmattersfoundation.org/,,info@artmattersfoundation.org
Arts Midwest,41-1000424,www.artsmidwest.org,612-,
Asian Youth Center,33-0383691,www.asianyouthcenter.org,626-309-0425,
Audrey J. Walton and Ann Walton Kroenke Charitable Foundation,,,,
Augustine Foundation,,,,
"Autism Speaks,  Inc.",20-2329938,www.autismspeaks.org,,
Avalon Foundation,,,,
Baltimore Housing,,http://www.baltimorehousing.org/cdbg,,
Baltimore Office of Promotion and Arts,,http://www.promotionandarts.org/,,
"Barbara Bush Foundation for Family Literacy, Inc.",26-0587238,www.barbarabush.org,850-562-5300,
Barnes & Noble,,,,
BAXTER TRUST,76-0174893,,,
Bay and Paul Foundations,13-1991717,http://www.bayandpaulfoundations.org,212-663-1115,info@bayandpaul.org
Bernard F and Alva B Gimbel Foundation Inc,13-6090843,,,
Betsy & Jesse Fink Foundation,,,,
Big Sky Association,76-0748150,,,
"Bill, Hillary &amp; Chelsea Clinton Foundation",31-1580204,www.clintonfoundation.org,646-775-9179,
Birchez Foundation,,http://birchez.com/wp/the-birchez-foundation/,,kjmcintyre@Birchez.com
Birnam Oaks Foundation,20-1834527,,,
Blue Cross and Blue Shield of North Carolina Foundation,,,,
Board of Community Assistance,,,,
BP Foundation,,,,
BP FOUNDATION INC,36-6046879,,,
Brown Forman Employees Credit Union,61-0531597,www.bfecu.com,,
BROWN FORMAN EMPLOYEES CREDIT UNION,61-6035176,,,
Brumley Foundation,75-2089705,,806-376-1555,
Budget,,,,
"Bull's Head Foundation, Inc.",13-6084014,,,
C H Stuart Foundation,16-6015254,,,
C-T W P Schenck Charitable,,,,
C5 Youth Foundation of Southern California Inc,26-2458769,www.C5LA.org,213-863-8444,
Cal Ripken Sr. Foundation,,http://www.ripkenfoundation.org/index.php,410-823-0043,info@ripkenfoundation.org
California Department of Public Health,,,,
California Housing Partnership Corporation,,,,
California Institute of Contemporary Arts (CICA),33-0094053,http://www.cica.org/,,CICAboard@cica.org
California Natural Resources Agency,,,,
California ReLeaf,,http://californiareleaf.org/,916-497-0034,info@californiareleaf.org
CalRecycle (Cal Recycle),,,,
Calvin P. & Irma B. Bentley Charitable Foundation,38-6043873,,(205) 297-6712,
CAMDEN HOME FOR CHILDREN & S P C C,21-0634531,,,
"Camp Council, Inc.",,,,
Cannon,,,,
Caring for Military Families the Elizabeth Dole Foundation,45-4292692,www.elizabethdolefoundation.org,202-249-7171,
