Alfred Bersted Foundation - 2017,,,,
Braitmayer Foundation,,,,
Mississippi-Alabama Sea Grant Consortium,,,,
The David and Lucile Packard Foundation,,,(650) 948-7658,
A L WILLIAMS JR FAMILY FOUNDATION INC,58-1650389,,,
Aaron Copland Fund for Music Inc,13-3620909,http://coplandfund.org/,212-461-6956,ensembles@coplandfund.org
ABC Foundation,,,,
ABUNDANCE FOUNDATION,20-1390469,www.Abundance.org,,
Academy Sports + Outdoors,,,,
ACTIVE 20-30 CLUB OF SACRAMENTO NO 1,,,,
ACTORS EQUITY FOUNDATION INC,13-2513378,,,
Acushnet Foundation,,,,
ADELINE & GEORGE MCQUEEN FOUNDATION OF 1960 8336174700,75-6014459,,886-888-5157,
Advocate Charitable Foundation,36-3297360,http://www.advocatehealth.com/foundation,847-384-3400,
After School Matters,,www.afterschoolmatters.org,(312) 742-4182,
AGC,,,,
AGO,,,,
AGRICULTURES CLEAN WATER ALLIANCE,42-1510642,WWW.ACWA-RRWS.ORG,,
AHIMSA RESCUE FOUNDATION,27-0099426,http://www.ahimsarescuefoundation.org/,,
Akonadi Foundation,94-3329873,akonadi.org,510-663-3867,
Albertson's,,,,
Albrecht Family Foundation,,,,
Alcoa Community Foundation,,http://www.alcoa.com,412-315-2900,
Alfred Bersted Foundation - 2016,,,,MFoot1314@aol.com
Alfred Bersted Foundation 2016,,,,
Alice M. Ditson Fund of Columbia University,,ditsonfund.org,,tmp17@columbia.edu
Allbritton Foundation,74-6051876,,,
Alpaugh Foundation,,,,
ALPAUGH FOUNDATION,31-6314074,,,
Altria Companies Emp. Comm. Fund. (ACECF),,https://www.GrantRequest.com/SID_209,,
Ameren Missouri,,,,
American Chemistry Council,,,,
American Endowment Foundation,34-1747398,www.aefonline.org,888-440-4233,
American Planning Association,,,,
American Society for the Prevention of Cruelty to Animals,,http://www.aspcapro.org/,,
AMERICANA FOUNDATION 71089,38-2269431,http://www.americanafoundation.org,248-347-3863,
AmeriCorps Siena College VISTA Grant,,,,
Anchor Charitable Foundation,63-1254078,,256-353-8902,
Anderson University,57-0324906,www.andersonuniversity.edu,,
ANDREWS FOUNDATION,76-0537224,,,
