Appalachian Regional Commission VEBA Inc,46-5737418,,,
Appalachian Regional Commission,,http://adeca.alabama.gov/Divisions/ced/Pages/Appalachian-Regional-Commission.aspx#Overview,(334) 353-2028,al.jones@adeca.alabama.gov
Local Initiatives Support Corp. (LISC),13-3030229,http://www.lisc.org,212-455-9800,
Jsc Foundation Inc,26-3802494,,,
BR Day,,,,
Bratton Family Foundation,,,,
Bridge Foundation,,,,
Elsa Becker Foundation,13-3641188,,,
"Bryce, William & Catherine Bryce",,,,
MARY BLACK FOUNDATION INC,57-0843135,www.maryblackfoundation.org,(864) 573-9500,info@maryblackfoundation.org
Markets for Good,,https://marketsforgood.org/opportunities/,,
Yaspan-Unterberg Foundation,13-3608916,,,
Alec Baldwin Foundation,,,212-664-2005,nyoffice@eldoradopictures.com
AMC TV,,,,jill.dortheimer@amctv.com
Ariel Investments,,,,mhobson@arielinvestments.com
Audi of America,,,,alan.cruciani@audi.com
Biller Family Foundation,,,206-535-7541,sarah@billerfamilyfoundation.org
Board of Supervisors County of Los Angeles,,,,
Capital Group Companies,,,213-486-9200,eric_heer@capgroup.com
Chartwell Foundation,,,310-556-7600,kroswell@chartwell.net
City of Los Angeles Department of Cultural Affairs,,,213-473-7700,joe.smoke@lacity.org
Comcast-NBCUniversal,,,818-777-8063,natalie.ramirez@nbcuni.com
Creative Artists Agency,,,424-288-2000,ntran@caa.com
Douglas Elliman Real Estate,,,310-819-3274,kevin.lodie@elliman.com
Dwight Stuart Youth Fund,,,,wendyc@dsyf.org
Edgerton Foundation,,,310-788-0310,Plays@EdgertonFoundation.org
Eisenberg-Keefer Foundation,,,,new_mart@hotmail.com
Gagosian Gallery,,,212-744-2313,cassandra@gagosian.com
"Gang, Tyre, Ramer and Brown, Inc.",,,310-777-4800,bruce@gtrb.com
Goldman Sachs,,,,amy.borzillieri@gs.com
Greenberg Glusker,,,310-553-3610,hmorse@greenbergglusker.com
HBO,,,310-382-3578,ava.goldson@hbo.com
Keyes Automotive Group,,,,ssiegel@keyescars.com
LA Unified School District,,,,mxb2043@lausd.net
Laurents Hatcher Foundation,,,,laurentshatcher@gmail.com
Lear Family Foundation,,,310-385-4087,kiyomim@actiii.com
"Marcia Israel Foundation, Inc.",,,310-273-2501,JSN@NSBN.COM
"Northern Trust, NA",,,,shm2@ntrs.com
Paradigm Talent Agency,,,310-288-8000,rramos@paradigmagency.com
