Miller Family Foundation,,,,
"The Hodge Foundation, Inc.",58-0909476,,,
20-30 Club Eugene,,,,
3M Gives,41-6038262,http://www.3Mgiving.com,,
A L & JENNIE L LURIA FOUNDATION,23-6255232,,516-568-2700,
A Little Hope Foundation,,,,
A. Lindsay and Olive B. O'Connor Foundation,16-6063458,http://theoconnorfoundation.org,(607) 538-9248,office@theoconnorfoundation.org
A.J. Frank Foundation,,,,
A.W. Asmuth Foundation,,,414-277-5000,
Abbott Laboratories,,,,
ABC Charities Inc,31-1024383,,,
ACKERMAN FOUNDATION,35-6567579,http://ackermanfoundation.com,,
ACORN FOUNDATION,41-1891595,,,
ACS,,,,
ACTION,,,,
ACUMEN FUND INC -,13-4166228,www.acumen.org,212-566-8821,
Ad Astra Foundation,73-1278163,,,
Adah and Leon Millard Foundation,,,,
ADL Charitable Trust,35-2033079,,,
ADR Foundation Inc,75-2849058,none,972-965-8957,
Aetna Community Grants,,,,
AHRQ,,,,
AHRQ - PIPS,,,,
AHRQ Health Services Research,,,,
AHRQ HIT Implementation,,,,
AHRQ Improving Quality through Clinician Use of IT,,,,
AHRQ Safe Practices,,,,
AHRQ Small Grants,,,,
Aileen S. Andrew Foundation,36-6049910,https://online.foundationsource.com/public/home/andrewfamily,(800)839-1754,requests@foundationsource.com
AK Mental Health Trust,,,,
AK Mental Health Trust Authority,,,,
AK State Hospital & Nursing Home Assn.,,,,
Alaska Denali Commission,,,,
Alaska Mental Health Trust Authority,,,,
Albert B Cuppage Charitable Foundation,41-1363927,,,
Albert J. and Claire R. Speh Foundation,,,847-299-7011,
Albertson Foundation,,,,
Albertson's Inc.,,,,
Alcoa/Intalco Works,,,,
Aldi,,aldismartkids.com,,
Alex Walker Educ/Charitable Fund,,,,
Alexis and Adam Stein,,,,
Alice and Fred Wall Family Foundation,20-6768522,,,
AllState,,,,
Aloysius Foundation,26-1600193,,,
Alton Baker Foundation,,,,
Amanda and Jeremiah Reynolds,,,,
Amanda Brown and Justin Chang,,,,
Amato Family Foundation,39-2039371,,414-357-8500,
Amercan Society on Aging Award,,,,
America's Cardboard Cup Regatta,,cardboardcup.harmonicmix.com,,
America's First Credit Union Community Assistance Program,87-0511475,https://www.americafirst.com/about/community-involvement/charitable-outreach-programs.cfm,801-827-8606,
American Diabetes Association,,,,
American Family Insurance Corporate Contributions Program,,,608-242-4100,
American Fidelity Foundation,73-1236059,americanfidelityfoundation.org,405-523-5811,Tom.McDaniel@af-group.com
American Legion Post 0300 Indianapolis Power & Light,35-6041278,https://www.iplpower.com/Our_Company/Community/Community_Involvement/,,
American Lung Association,,,,
American Seafoods,,,,
American Seafoods Co.,,,,
AMGA,,,,
AMHS Award,,,,
Anaheim Ducks,11-3839845,,(714) 704-2512,
Andrew & Bronya Galef Charitable Foundation,95-4034141,,,
Angie's List Foundation,,https://www.cicf.org/about-cicf/funds-and-foundations/,,
Ann & Bill Swindells,,,,
Ann & Bill Swindells Charitable Trust,,,,
Ann & Bill Swindells Foundation,,,,
Ann & Bill Swindells Trust,,,,
Anonymous (AJWS),,,,
ANTHEM FOUNDATION INC/WELLPOINT,35-2122763,http://www.anthemcorporateresponsibility.com/cr/foundation,,
AptarGroup Union Foundation,,www.aptar.com,(815)477-0424,
Arch W. Shaw Foundation,,,,
Archaeological Institute of American AIA,13-5669180,https://www.archaeological.org/,,
Archer Daniels Midland: ADM Cares,,,,
ARCO,,,,
Area Agency on Aging District 11,,,,
Arthur Vining Davis Foundation,,,,
ASHNHA,,,,
Astellas Pharm Us Inc.,,,,
Astra Pharmaceuticals,,,,
AT&T Alascom,,,,
"Atlanta Community Food Bank, Inc.",58-1376648,www.acfb.org,404-,
Augustine Stewardship Fund Trust Committee,,,,
AYRES FOUNDATION INC,35-6018437,,,
B Braun Medical,,,,
BAJ FOUNDATION INC,35-2123626,,,
Baker Family Foundation,,,,
Banfield Charitable Trust,,,,
Banfield Pet Therapy,,,,
BANK OF HAWAII FOUNDATION,99-0210467,,,
BANK OF OKLAHOMA FOUNDATION,73-1531887,,,
Barker Foundation,,,,
Baseball Tomorrow Fund,,,,
BayTrust,,,,
Bcbsm Foundation Inc,36-3525653,,,
Beate and Christopher Chee,,,(310) 622-2707,cheefamily@mac.com
BECK FOUNDATION INC,35-2052617,,,
Bellingham Herald Wish List,,,,
Ben & Jeanne Overman Charitable Trust,41-1384796,,,
Ben Cheney Charitable Trust,,,,
Ben Cheney Foundation,,,,
Benaroya Foundation,,,,
BERTSCH FAMILY CHARITABLE FOUNDATION INC,35-0257621,,,
Bess Spiva Timmons,,,,
Besson's Landing Foundation,80-0772924,,,
Bilicki Law,,www.bilickilaw.com,716-664-5600,
Blue Bell Foundation,56-6041057,wellsfargo.com/privatefoundationgrants,,grantadministration@wellsfargo.com
Blue Diamond,,,,
Blue Shield Corporate,,,,
BMAM Foundation Inc,35-2089228,,,
BN Santa Fe Foundation,,,,
BNSF,,,,
Bob & Delores Hope Foundation,,,,
BOB STOOPS CHAMPIONS FOUNDATION INC,73-1617340,,,
BOREN FOUNDATION INC,35-1557058,,,
Boston Foundation - Open Door Grants,,,,
Boston Scientific Foundation Inc,04-3556844,,,
BRACKETS FOR GOOD INC,45-3689556,WWW.BFG.ORG,,
"Breast Cancer Alliance, Inc.",06-1453500,http://www.breastcanceralliance.org,203-861-0014,info@breastcanceralliance.org
BREES DREAM FOUNDATION,56-2380198,www.drewbrees.com,,
Bridge Financial,,,,
BRIDGESTONE AMERICAS HOLDING INC,34-6505181,,,
Bristol Myers Squib Foundation,,,,
Bristol Squibb Pharmaceuticals,,,,
Bristol-Meyer Squibb,,,,
Brotz Family Foundation,39-6060552,,(920) 458-2121,
Bruce and Judith Stern,,,,
Bufka Family Foundation,,,,
Buncombe County,,,,
Buncombe County Schools,,,,
Bunting Foundation,,,,
Burlington Northern,,,,
Burlington Northern Foundation,,,,
Burlington Northern Santa Fe,,,,
Burlington Northern Santa Fe RailRoad,,,,
By the Hand Club for Kids,,,,
Byron & Alice Lockwood Foundation,,,,
C. Louis Meyer Family Foundation,,,,
CACFP - Dept. of Agriculture,,,,
Cal National Bank,,,,
California Dept. of Parks and Recreation,,,916-653-7423,
CALL Care,,,,
"Campbell Foundation, Inc.",52-0794348,,,
Cardinal Foundation,,,,
Cardinal Health,,,,
CareOregon Subcontract,,,,
CAREPARTNERS FOUNDATION,56-2110357,WWW.CAREPARTNERSFOUNDATION.ORG,,
Carl B and Florence E King Foundation,75-6052203,www.kingfoundation.com,214-750-1884,
Carl C Anderson Sr and Marie Jo Anderson Charitable Foundation,74-6078530,,,
Carl Hendrickson,,,,
Carrie Estelle Doheny,,,,
Cass County Tourism,,,,
Castle Rock Eagles,,,,
Castle Rock Eagles Auxilliary,,,,
Castle Rock WA Eagles Auxiliary,,,,
CATCH,,,,
Catholic Club Association,39-1019718,,920-734-5140,
Cavaricci Foundation,20-3920121,,,
CDBG Listing,,,,
"CDBG, Economic Opportunity Grants - WA Dept Commerce",,http://www.commerce.wa.gov/serving-communities/current-opportunities/community-development-block-grants/cdbg-specialty-grants/,360-725-3018,Kaaren.Roe@commerce.wa.gov
"CDBG, General Purpose - WA Dept Commerce, Community Development Block Grant",,http://www.commerce.wa.gov/serving-communities/current-opportunities/community-development-block-grants/cdbg-general-purpose-grants/,360-725-3009,Sheila.Lee-Johnston@commerce.wa.gov
Center for Disease Control,,,,
